STATION,NAME,DATE,PRCP,TMAX
UKM00003772,"HEATHROW, UK",21/07/1991,,70
UKM00003772,"HEATHROW, UK",22/07/1991,0,75
UKM00003772,"HEATHROW, UK",23/07/1991,,81
UKM00003772,"HEATHROW, UK",24/07/1991,0.12,65
UKM00003772,"HEATHROW, UK",25/07/1991,0.47,
UKM00003772,"HEATHROW, UK",26/07/1991,,75
UKM00003772,"HEATHROW, UK",27/07/1991,0,76
UKM00003772,"HEATHROW, UK",28/07/1991,0,78
UKM00003772,"HEATHROW, UK",29/07/1991,0,
UKM00003772,"HEATHROW, UK",30/07/1991,,
UKM00003772,"HEATHROW, UK",31/07/1991,,74
UKM00003772,"HEATHROW, UK",01/08/1991,,74
UKM00003772,"HEATHROW, UK",02/08/1991,,
UKM00003772,"HEATHROW, UK",03/08/1991,0,75
UKM00003772,"HEATHROW, UK",04/08/1991,0,76
UKM00003772,"HEATHROW, UK",05/08/1991,0.01,74
UKM00003772,"HEATHROW, UK",06/08/1991,0,72
UKM00003772,"HEATHROW, UK",07/08/1991,,
UKM00003772,"HEATHROW, UK",08/08/1991,,
UKM00003772,"HEATHROW, UK",09/08/1991,0,
UKM00003772,"HEATHROW, UK",10/08/1991,0,
UKM00003772,"HEATHROW, UK",11/08/1991,,
UKM00003772,"HEATHROW, UK",12/08/1991,0,74
UKM00003772,"HEATHROW, UK",13/08/1991,,75
UKM00003772,"HEATHROW, UK",14/08/1991,,77
UKM00003772,"HEATHROW, UK",15/08/1991,0,77
UKM00003772,"HEATHROW, UK",16/08/1991,,75
UKM00003772,"HEATHROW, UK",17/08/1991,0,75
UKM00003772,"HEATHROW, UK",18/08/1991,0,71
UKM00003772,"HEATHROW, UK",19/08/1991,,
UKM00003772,"HEATHROW, UK",20/08/1991,0,77
UKM00003772,"HEATHROW, UK",21/08/1991,0,
UKM00003772,"HEATHROW, UK",22/08/1991,0.04,76
UKM00003772,"HEATHROW, UK",23/08/1991,0.12,
UKM00003772,"HEATHROW, UK",24/08/1991,0,73
UKM00003772,"HEATHROW, UK",25/08/1991,0,76
UKM00003772,"HEATHROW, UK",26/08/1991,,81
UKM00003772,"HEATHROW, UK",27/08/1991,0,80
UKM00003772,"HEATHROW, UK",28/08/1991,,
UKM00003772,"HEATHROW, UK",29/08/1991,0,75
UKM00003772,"HEATHROW, UK",30/08/1991,0,78
UKM00003772,"HEATHROW, UK",31/08/1991,0,80
UKM00003772,"HEATHROW, UK",01/09/1991,0,85
UKM00003772,"HEATHROW, UK",02/09/1991,,79
UKM00003772,"HEATHROW, UK",03/09/1991,0,
UKM00003772,"HEATHROW, UK",04/09/1991,0,81
UKM00003772,"HEATHROW, UK",05/09/1991,0,77
UKM00003772,"HEATHROW, UK",06/09/1991,0,
UKM00003772,"HEATHROW, UK",07/09/1991,0,71
UKM00003772,"HEATHROW, UK",08/09/1991,0,76
UKM00003772,"HEATHROW, UK",09/09/1991,0,
UKM00003772,"HEATHROW, UK",10/09/1991,0,76
UKM00003772,"HEATHROW, UK",11/09/1991,0,
UKM00003772,"HEATHROW, UK",12/09/1991,0,
UKM00003772,"HEATHROW, UK",13/09/1991,0,74
UKM00003772,"HEATHROW, UK",14/09/1991,0,76
UKM00003772,"HEATHROW, UK",15/09/1991,0.16,72
UKM00003772,"HEATHROW, UK",16/09/1991,0.24,69
UKM00003772,"HEATHROW, UK",17/09/1991,0,
UKM00003772,"HEATHROW, UK",18/09/1991,0.01,71
UKM00003772,"HEATHROW, UK",19/09/1991,0,
UKM00003772,"HEATHROW, UK",20/09/1991,0,68
UKM00003772,"HEATHROW, UK",21/09/1991,0,76
UKM00003772,"HEATHROW, UK",22/09/1991,,
UKM00003772,"HEATHROW, UK",23/09/1991,,
UKM00003772,"HEATHROW, UK",24/09/1991,0.12,66
UKM00003772,"HEATHROW, UK",25/09/1991,,
UKM00003772,"HEATHROW, UK",26/09/1991,0.33,64
UKM00003772,"HEATHROW, UK",27/09/1991,0.16,54
UKM00003772,"HEATHROW, UK",28/09/1991,0.13,
UKM00003772,"HEATHROW, UK",29/09/1991,0.39,
UKM00003772,"HEATHROW, UK",30/09/1991,,59
UKM00003772,"HEATHROW, UK",01/10/1991,0,63
UKM00003772,"HEATHROW, UK",02/10/1991,0,
UKM00003772,"HEATHROW, UK",03/10/1991,,
UKM00003772,"HEATHROW, UK",04/10/1991,,63
UKM00003772,"HEATHROW, UK",05/10/1991,0.12,60
UKM00003772,"HEATHROW, UK",06/10/1991,0,58
UKM00003772,"HEATHROW, UK",07/10/1991,0,
UKM00003772,"HEATHROW, UK",08/10/1991,,
UKM00003772,"HEATHROW, UK",09/10/1991,,
UKM00003772,"HEATHROW, UK",10/10/1991,,68
UKM00003772,"HEATHROW, UK",11/10/1991,,
UKM00003772,"HEATHROW, UK",12/10/1991,,64
UKM00003772,"HEATHROW, UK",13/10/1991,,63
UKM00003772,"HEATHROW, UK",14/10/1991,0.04,63
UKM00003772,"HEATHROW, UK",15/10/1991,0,60
UKM00003772,"HEATHROW, UK",16/10/1991,,61
UKM00003772,"HEATHROW, UK",17/10/1991,,54
UKM00003772,"HEATHROW, UK",18/10/1991,0.01,
UKM00003772,"HEATHROW, UK",19/10/1991,0,
UKM00003772,"HEATHROW, UK",20/10/1991,,
UKM00003772,"HEATHROW, UK",21/10/1991,,53
UKM00003772,"HEATHROW, UK",22/10/1991,0,
UKM00003772,"HEATHROW, UK",23/10/1991,0,
UKM00003772,"HEATHROW, UK",24/10/1991,0,50
UKM00003772,"HEATHROW, UK",25/10/1991,0,
UKM00003772,"HEATHROW, UK",26/10/1991,,53
UKM00003772,"HEATHROW, UK",27/10/1991,,
UKM00003772,"HEATHROW, UK",28/10/1991,0.02,
UKM00003772,"HEATHROW, UK",29/10/1991,0,58
UKM00003772,"HEATHROW, UK",30/10/1991,0.29,58
UKM00003772,"HEATHROW, UK",31/10/1991,,
UKM00003772,"HEATHROW, UK",01/11/1991,0.39,62
UKM00003772,"HEATHROW, UK",02/11/1991,0.06,
UKM00003772,"HEATHROW, UK",03/11/1991,0.28,
UKM00003772,"HEATHROW, UK",04/11/1991,0.08,
UKM00003772,"HEATHROW, UK",05/11/1991,0.03,
UKM00003772,"HEATHROW, UK",06/11/1991,0,
UKM00003772,"HEATHROW, UK",07/11/1991,0.01,56
UKM00003772,"HEATHROW, UK",08/11/1991,0.08,54
UKM00003772,"HEATHROW, UK",09/11/1991,,49
UKM00003772,"HEATHROW, UK",10/11/1991,0,
UKM00003772,"HEATHROW, UK",11/11/1991,0.12,
UKM00003772,"HEATHROW, UK",12/11/1991,,51
UKM00003772,"HEATHROW, UK",13/11/1991,0.08,
